youbike_stop_num,lat,lng,max_rental_num,can_be_rented_num,rental_per,time
0001,25.0408578889,121.567904444,180,34,0.8111111111111111,2018:06:13 08:00:00
0006,25.0347361111,121.565658333,80,0,1.0,2018:06:13 08:00:00
0007,25.0330388889,121.565619444,80,35,0.5625,2018:06:13 08:00:00
0011,25.034937,121.55762,66,25,0.6212121212121212,2018:06:13 08:00:00
0088,25.032922, 121.57087,62,3,0.9516129032258065,2018:06:13 08:00:00
0132,25.01603085,121.5331757,88,25,0.7159090909090909,2018:06:13 08:00:00
0163,25.018097,121.559279,72,48,0.3333333333333333,2018:06:13 08:00:00
0030,25.017054,121.544352,74,39,0.47297297297297297,2018:06:13 08:00:00
0036,25.02101,121.54153,72,10,0.8611111111111112,2018:06:13 08:00:00
0083,25.033156,121.535161,74,29,0.6081081081081081,2018:06:13 08:00:00
0176,25.055997 ,121.542318 ,98,57,0.41836734693877553,2018:06:13 08:00:00
0162,25.062924,121.52772,70,45,0.35714285714285715,2018:06:13 08:00:00
0121,25.05298,121.540568,66,33,0.5,2018:06:13 08:00:00
0021,25.057985,121.548982,66,46,0.30303030303030304,2018:06:13 08:00:00
0015,25.049845,121.571885,60,26,0.5666666666666667,2018:06:13 08:00:00
0050,25.062002,121.560186,52,30,0.4230769230769231,2018:06:13 08:00:00
0175,25.051618 ,121.544847 ,52,23,0.5576923076923077,2018:06:13 08:00:00
0170,25.059245,121.568883,50,17,0.66,2018:06:13 08:00:00
0046,25.05646,121.611027 ,44,2,0.9545454545454546,2018:06:13 08:00:00
0026,25.050142,121.592375,42,23,0.4523809523809524,2018:06:13 08:00:00
0115,25.048222,121.520526,68,11,0.8382352941176471,2018:06:13 08:00:00
0186,25.035414 ,121.514218 ,82,13,0.8414634146341463,2018:06:13 08:00:00
0082,25.041778,121.508693 ,60,28,0.5333333333333333,2018:06:13 08:00:00
0080,25.02751,121.495869,44,13,0.7045454545454546,2018:06:13 08:00:00
0120,25.035479,121.50026,46,3,0.9347826086956522,2018:06:13 08:00:00
0090,25.037783,121.501708,44,28,0.36363636363636365,2018:06:13 08:00:00
0143,24.997659,121.578752,72,14,0.8055555555555556,2018:06:13 08:00:00
0144,24.988363,121.576536,70,29,0.5857142857142857,2018:06:13 08:00:00
0142,24.997747,121.574214,52,28,0.46153846153846156,2018:06:13 08:00:00
0094,24.993254,121.541059,52,18,0.6538461538461539,2018:06:13 08:00:00
0098,24.999378,121.540197,42,20,0.5238095238095238,2018:06:13 08:00:00
0078,25.071824,121.519287,52,19,0.6346153846153846,2018:06:13 08:00:00
0079,25.061285,121.520205,50,34,0.32,2018:06:13 08:00:00
0140,25.063404,121.512909,46,43,0.06521739130434782,2018:06:13 08:00:00
0099,25.057866,121.520711,42,27,0.35714285714285715,2018:06:13 08:00:00
0134,25.10336,121.522629,64,7,0.890625,2018:06:13 08:00:00
0188,25.090293 ,121.501890 ,56,28,0.5,2018:06:13 08:00:00
0097,25.082825,121.524721,52,23,0.5576923076923077,2018:06:13 08:00:00
0167,25.095714,121.518046,50,9,0.82,2018:06:13 08:00:00
0122,25.079666,121.57584,50,14,0.72,2018:06:13 08:00:00
0129,25.078424,121.58456,50,29,0.42,2018:06:13 08:00:00
0191,25.083873,121.60206,58,10,0.8275862068965517,2018:06:13 08:00:00
0148,25.110331,121.518316,68,25,0.6323529411764706,2018:06:13 08:00:00
0164,25.126286,121.500801,56,31,0.44642857142857145,2018:06:13 08:00:00
0117,25.132581,121.498618,58,19,0.6724137931034483,2018:06:13 08:00:00
