youbike_stop_num,lat,lng,max_rental_num,can_be_rented_num,rental_per,time
0001,25.0408578889,121.567904444,180,51,0.7166666666666667,2018:06:14 08:00:00
0006,25.0347361111,121.565658333,80,0,1.0,2018:06:14 08:00:00
0007,25.0330388889,121.565619444,80,12,0.85,2018:06:14 08:00:00
0011,25.034937,121.55762,66,29,0.5606060606060606,2018:06:14 08:00:00
0088,25.032922, 121.57087,62,5,0.9193548387096774,2018:06:14 08:00:00
0132,25.01603085,121.5331757,88,51,0.42045454545454547,2018:06:14 08:00:00
0163,25.018097,121.559279,72,40,0.4444444444444444,2018:06:14 08:00:00
0030,25.017054,121.544352,74,20,0.7297297297297297,2018:06:14 08:00:00
0036,25.02101,121.54153,72,2,0.9722222222222222,2018:06:14 08:00:00
0083,25.033156,121.535161,74,45,0.3918918918918919,2018:06:14 08:00:00
0176,25.055997 ,121.542318 ,98,41,0.5816326530612245,2018:06:14 08:00:00
0162,25.062924,121.52772,70,47,0.32857142857142857,2018:06:14 08:00:00
0121,25.05298,121.540568,66,8,0.8787878787878788,2018:06:14 08:00:00
0021,25.057985,121.548982,66,18,0.7272727272727273,2018:06:14 08:00:00
0015,25.049845,121.571885,60,14,0.7666666666666667,2018:06:14 08:00:00
0050,25.062002,121.560186,52,26,0.5,2018:06:14 08:00:00
0175,25.051618 ,121.544847 ,52,21,0.5961538461538461,2018:06:14 08:00:00
0170,25.059245,121.568883,50,18,0.64,2018:06:14 08:00:00
0046,25.05646,121.611027 ,44,10,0.7727272727272727,2018:06:14 08:00:00
0026,25.050142,121.592375,42,21,0.5,2018:06:14 08:00:00
0115,25.048222,121.520526,68,10,0.8529411764705882,2018:06:14 08:00:00
0186,25.035414 ,121.514218 ,82,12,0.8536585365853658,2018:06:14 08:00:00
0082,25.041778,121.508693 ,60,31,0.48333333333333334,2018:06:14 08:00:00
0080,25.02751,121.495869,44,28,0.36363636363636365,2018:06:14 08:00:00
0120,25.035479,121.50026,46,22,0.5217391304347826,2018:06:14 08:00:00
0090,25.037783,121.501708,44,25,0.4318181818181818,2018:06:14 08:00:00
0143,24.997659,121.578752,72,15,0.7916666666666666,2018:06:14 08:00:00
0144,24.988363,121.576536,70,40,0.42857142857142855,2018:06:14 08:00:00
0142,24.997747,121.574214,52,19,0.6346153846153846,2018:06:14 08:00:00
0094,24.993254,121.541059,52,36,0.3076923076923077,2018:06:14 08:00:00
0098,24.999378,121.540197,42,24,0.42857142857142855,2018:06:14 08:00:00
0078,25.071824,121.519287,52,27,0.4807692307692308,2018:06:14 08:00:00
0079,25.061285,121.520205,50,32,0.36,2018:06:14 08:00:00
0140,25.063404,121.512909,46,32,0.30434782608695654,2018:06:14 08:00:00
0099,25.057866,121.520711,42,27,0.35714285714285715,2018:06:14 08:00:00
0134,25.10336,121.522629,64,19,0.703125,2018:06:14 08:00:00
0188,25.090293 ,121.501890 ,56,38,0.32142857142857145,2018:06:14 08:00:00
0097,25.082825,121.524721,52,27,0.4807692307692308,2018:06:14 08:00:00
0167,25.095714,121.518046,50,18,0.64,2018:06:14 08:00:00
0122,25.079666,121.57584,50,18,0.64,2018:06:14 08:00:00
0129,25.078424,121.58456,50,35,0.3,2018:06:14 08:00:00
0191,25.083873,121.60206,58,3,0.9482758620689655,2018:06:14 08:00:00
0148,25.110331,121.518316,68,34,0.5,2018:06:14 08:00:00
0164,25.126286,121.500801,56,21,0.625,2018:06:14 08:00:00
0117,25.132581,121.498618,58,36,0.3793103448275862,2018:06:14 08:00:00
