youbike_stop_num,lat,lng,max_rental_num,can_be_rented_num,rental_per,time
0001,25.0408578889,121.567904444,180,125,0.3055555555555556,2018:06:17 15:00:00
0006,25.0347361111,121.565658333,80,0,1.0,2018:06:17 15:00:00
0007,25.0330388889,121.565619444,80,42,0.475,2018:06:17 15:00:00
0011,25.034937,121.55762,66,29,0.5606060606060606,2018:06:17 15:00:00
0088,25.032922, 121.57087,62,11,0.8225806451612904,2018:06:17 15:00:00
0132,25.01603085,121.5331757,88,36,0.5909090909090909,2018:06:17 15:00:00
0163,25.018097,121.559279,72,28,0.6111111111111112,2018:06:17 15:00:00
0030,25.017054,121.544352,74,39,0.47297297297297297,2018:06:17 15:00:00
0036,25.02101,121.54153,72,57,0.20833333333333334,2018:06:17 15:00:00
0083,25.033156,121.535161,74,41,0.44594594594594594,2018:06:17 15:00:00
0176,25.055997 ,121.542318 ,98,34,0.6530612244897959,2018:06:17 15:00:00
0162,25.062924,121.52772,70,19,0.7285714285714285,2018:06:17 15:00:00
0121,25.05298,121.540568,66,46,0.30303030303030304,2018:06:17 15:00:00
0021,25.057985,121.548982,66,31,0.5303030303030303,2018:06:17 15:00:00
0015,25.049845,121.571885,60,16,0.7333333333333333,2018:06:17 15:00:00
0050,25.062002,121.560186,52,25,0.5192307692307693,2018:06:17 15:00:00
0175,25.051618 ,121.544847 ,52,35,0.3269230769230769,2018:06:17 15:00:00
0170,25.059245,121.568883,50,17,0.66,2018:06:17 15:00:00
0046,25.05646,121.611027 ,44,28,0.36363636363636365,2018:06:17 15:00:00
0026,25.050142,121.592375,42,21,0.5,2018:06:17 15:00:00
0115,25.048222,121.520526,68,55,0.19117647058823528,2018:06:17 15:00:00
0186,25.035414 ,121.514218 ,82,45,0.45121951219512196,2018:06:17 15:00:00
0082,25.041778,121.508693 ,60,24,0.6,2018:06:17 15:00:00
0080,25.02751,121.495869,44,16,0.6363636363636364,2018:06:17 15:00:00
0120,25.035479,121.50026,46,17,0.6304347826086957,2018:06:17 15:00:00
0090,25.037783,121.501708,44,7,0.8409090909090909,2018:06:17 15:00:00
0143,24.997659,121.578752,72,39,0.4583333333333333,2018:06:17 15:00:00
0144,24.988363,121.576536,70,41,0.4142857142857143,2018:06:17 15:00:00
0142,24.997747,121.574214,52,26,0.5,2018:06:17 15:00:00
0094,24.993254,121.541059,52,16,0.6923076923076923,2018:06:17 15:00:00
0098,24.999378,121.540197,42,27,0.35714285714285715,2018:06:17 15:00:00
0078,25.071824,121.519287,52,23,0.5576923076923077,2018:06:17 15:00:00
0079,25.061285,121.520205,50,19,0.62,2018:06:17 15:00:00
0140,25.063404,121.512909,46,16,0.6521739130434783,2018:06:17 15:00:00
0099,25.057866,121.520711,42,29,0.30952380952380953,2018:06:17 15:00:00
0134,25.10336,121.522629,64,43,0.328125,2018:06:17 15:00:00
0188,25.090293 ,121.501890 ,56,39,0.30357142857142855,2018:06:17 15:00:00
0097,25.082825,121.524721,52,42,0.19230769230769232,2018:06:17 15:00:00
0167,25.095714,121.518046,50,39,0.22,2018:06:17 15:00:00
0122,25.079666,121.57584,50,29,0.42,2018:06:17 15:00:00
0129,25.078424,121.58456,50,9,0.82,2018:06:17 15:00:00
0191,25.083873,121.60206,58,29,0.5,2018:06:17 15:00:00
0148,25.110331,121.518316,68,32,0.5294117647058824,2018:06:17 15:00:00
0164,25.126286,121.500801,56,22,0.6071428571428571,2018:06:17 15:00:00
0117,25.132581,121.498618,58,38,0.3448275862068966,2018:06:17 15:00:00
