youbike_stop_num,lat,lng,max_rental_num,can_be_rented_num,rental_per,time
0001,25.0408578889,121.567904444,180,66,0.6333333333333333,2018:06:16 05:00:00
0006,25.0347361111,121.565658333,80,0,1.0,2018:06:16 05:00:00
0007,25.0330388889,121.565619444,80,6,0.925,2018:06:16 05:00:00
0011,25.034937,121.55762,66,49,0.25757575757575757,2018:06:16 05:00:00
0088,25.032922, 121.57087,62,34,0.45161290322580644,2018:06:16 05:00:00
0132,25.01603085,121.5331757,88,51,0.42045454545454547,2018:06:16 05:00:00
0163,25.018097,121.559279,72,45,0.375,2018:06:16 05:00:00
0030,25.017054,121.544352,74,46,0.3783783783783784,2018:06:16 05:00:00
0036,25.02101,121.54153,72,6,0.9166666666666666,2018:06:16 05:00:00
0083,25.033156,121.535161,74,34,0.5405405405405406,2018:06:16 05:00:00
0176,25.055997 ,121.542318 ,98,80,0.1836734693877551,2018:06:16 05:00:00
0162,25.062924,121.52772,70,38,0.45714285714285713,2018:06:16 05:00:00
0121,25.05298,121.540568,66,34,0.48484848484848486,2018:06:16 05:00:00
0021,25.057985,121.548982,66,27,0.5909090909090909,2018:06:16 05:00:00
0015,25.049845,121.571885,60,16,0.7333333333333333,2018:06:16 05:00:00
0050,25.062002,121.560186,52,30,0.4230769230769231,2018:06:16 05:00:00
0175,25.051618 ,121.544847 ,52,21,0.5961538461538461,2018:06:16 05:00:00
0170,25.059245,121.568883,50,29,0.42,2018:06:16 05:00:00
0046,25.05646,121.611027 ,44,24,0.45454545454545453,2018:06:16 05:00:00
0026,25.050142,121.592375,42,19,0.5476190476190477,2018:06:16 05:00:00
0115,25.048222,121.520526,68,37,0.45588235294117646,2018:06:16 05:00:00
0186,25.035414 ,121.514218 ,82,29,0.6463414634146342,2018:06:16 05:00:00
0082,25.041778,121.508693 ,60,19,0.6833333333333333,2018:06:16 05:00:00
0080,25.02751,121.495869,44,30,0.3181818181818182,2018:06:16 05:00:00
0120,25.035479,121.50026,46,15,0.6739130434782609,2018:06:16 05:00:00
0090,25.037783,121.501708,44,34,0.22727272727272727,2018:06:16 05:00:00
0143,24.997659,121.578752,72,24,0.6666666666666666,2018:06:16 05:00:00
0144,24.988363,121.576536,70,25,0.6428571428571429,2018:06:16 05:00:00
0142,24.997747,121.574214,52,12,0.7692307692307693,2018:06:16 05:00:00
0094,24.993254,121.541059,52,8,0.8461538461538461,2018:06:16 05:00:00
0098,24.999378,121.540197,42,20,0.5238095238095238,2018:06:16 05:00:00
0078,25.071824,121.519287,52,16,0.6923076923076923,2018:06:16 05:00:00
0079,25.061285,121.520205,50,11,0.78,2018:06:16 05:00:00
0140,25.063404,121.512909,46,21,0.5434782608695652,2018:06:16 05:00:00
0099,25.057866,121.520711,42,12,0.7142857142857143,2018:06:16 05:00:00
0134,25.10336,121.522629,64,7,0.890625,2018:06:16 05:00:00
0188,25.090293 ,121.501890 ,56,39,0.30357142857142855,2018:06:16 05:00:00
0097,25.082825,121.524721,52,8,0.8461538461538461,2018:06:16 05:00:00
0167,25.095714,121.518046,50,19,0.62,2018:06:16 05:00:00
0122,25.079666,121.57584,50,39,0.22,2018:06:16 05:00:00
0129,25.078424,121.58456,50,23,0.54,2018:06:16 05:00:00
0191,25.083873,121.60206,58,15,0.7413793103448276,2018:06:16 05:00:00
0148,25.110331,121.518316,68,31,0.5441176470588235,2018:06:16 05:00:00
0164,25.126286,121.500801,56,9,0.8392857142857143,2018:06:16 05:00:00
0117,25.132581,121.498618,58,9,0.8448275862068966,2018:06:16 05:00:00
