youbike_stop_num,lat,lng,max_rental_num,can_be_rented_num,rental_per,time
0001,25.0408578889,121.567904444,180,70,0.6111111111111112,2018:06:18 08:00:00
0006,25.0347361111,121.565658333,80,0,1.0,2018:06:18 08:00:00
0007,25.0330388889,121.565619444,80,26,0.675,2018:06:18 08:00:00
0011,25.034937,121.55762,66,48,0.2727272727272727,2018:06:18 08:00:00
0088,25.032922, 121.57087,62,46,0.25806451612903225,2018:06:18 08:00:00
0132,25.01603085,121.5331757,88,72,0.18181818181818182,2018:06:18 08:00:00
0163,25.018097,121.559279,72,50,0.3055555555555556,2018:06:18 08:00:00
0030,25.017054,121.544352,74,45,0.3918918918918919,2018:06:18 08:00:00
0036,25.02101,121.54153,72,12,0.8333333333333334,2018:06:18 08:00:00
0083,25.033156,121.535161,74,58,0.21621621621621623,2018:06:18 08:00:00
0176,25.055997 ,121.542318 ,98,75,0.23469387755102042,2018:06:18 08:00:00
0162,25.062924,121.52772,70,56,0.2,2018:06:18 08:00:00
0121,25.05298,121.540568,66,38,0.42424242424242425,2018:06:18 08:00:00
0021,25.057985,121.548982,66,30,0.5454545454545454,2018:06:18 08:00:00
0015,25.049845,121.571885,60,19,0.6833333333333333,2018:06:18 08:00:00
0050,25.062002,121.560186,52,31,0.40384615384615385,2018:06:18 08:00:00
0175,25.051618 ,121.544847 ,52,23,0.5576923076923077,2018:06:18 08:00:00
0170,25.059245,121.568883,50,27,0.46,2018:06:18 08:00:00
0046,25.05646,121.611027 ,44,20,0.5454545454545454,2018:06:18 08:00:00
0026,25.050142,121.592375,42,17,0.5952380952380952,2018:06:18 08:00:00
0115,25.048222,121.520526,68,23,0.6617647058823529,2018:06:18 08:00:00
0186,25.035414 ,121.514218 ,82,36,0.5609756097560976,2018:06:18 08:00:00
0082,25.041778,121.508693 ,60,28,0.5333333333333333,2018:06:18 08:00:00
0080,25.02751,121.495869,44,24,0.45454545454545453,2018:06:18 08:00:00
0120,25.035479,121.50026,46,19,0.5869565217391305,2018:06:18 08:00:00
0090,25.037783,121.501708,44,29,0.3409090909090909,2018:06:18 08:00:00
0143,24.997659,121.578752,72,42,0.4166666666666667,2018:06:18 08:00:00
0144,24.988363,121.576536,70,37,0.4714285714285714,2018:06:18 08:00:00
0142,24.997747,121.574214,52,10,0.8076923076923077,2018:06:18 08:00:00
0094,24.993254,121.541059,52,30,0.4230769230769231,2018:06:18 08:00:00
0098,24.999378,121.540197,42,20,0.5238095238095238,2018:06:18 08:00:00
0078,25.071824,121.519287,52,9,0.8269230769230769,2018:06:18 08:00:00
0079,25.061285,121.520205,50,14,0.72,2018:06:18 08:00:00
0140,25.063404,121.512909,46,33,0.2826086956521739,2018:06:18 08:00:00
0099,25.057866,121.520711,42,16,0.6190476190476191,2018:06:18 08:00:00
0134,25.10336,121.522629,64,20,0.6875,2018:06:18 08:00:00
0188,25.090293 ,121.501890 ,56,44,0.21428571428571427,2018:06:18 08:00:00
0097,25.082825,121.524721,52,12,0.7692307692307693,2018:06:18 08:00:00
0167,25.095714,121.518046,50,18,0.64,2018:06:18 08:00:00
0122,25.079666,121.57584,50,27,0.46,2018:06:18 08:00:00
0129,25.078424,121.58456,50,34,0.32,2018:06:18 08:00:00
0191,25.083873,121.60206,58,47,0.1896551724137931,2018:06:18 08:00:00
0148,25.110331,121.518316,68,39,0.4264705882352941,2018:06:18 08:00:00
0164,25.126286,121.500801,56,26,0.5357142857142857,2018:06:18 08:00:00
0117,25.132581,121.498618,58,8,0.8620689655172413,2018:06:18 08:00:00
