youbike_stop_num,lat,lng,max_rental_num,can_be_rented_num,rental_per,time
0001,25.0408578889,121.567904444,180,2,0.9888888888888889,2018:06:18 00:00:00
0006,25.0347361111,121.565658333,80,0,1.0,2018:06:18 00:00:00
0007,25.0330388889,121.565619444,80,18,0.775,2018:06:18 00:00:00
0011,25.034937,121.55762,66,29,0.5606060606060606,2018:06:18 00:00:00
0088,25.032922, 121.57087,62,24,0.6129032258064516,2018:06:18 00:00:00
0132,25.01603085,121.5331757,88,29,0.6704545454545454,2018:06:18 00:00:00
0163,25.018097,121.559279,72,41,0.4305555555555556,2018:06:18 00:00:00
0030,25.017054,121.544352,74,39,0.47297297297297297,2018:06:18 00:00:00
0036,25.02101,121.54153,72,5,0.9305555555555556,2018:06:18 00:00:00
0083,25.033156,121.535161,74,3,0.9594594594594594,2018:06:18 00:00:00
0176,25.055997 ,121.542318 ,98,79,0.19387755102040816,2018:06:18 00:00:00
0162,25.062924,121.52772,70,56,0.2,2018:06:18 00:00:00
0121,25.05298,121.540568,66,18,0.7272727272727273,2018:06:18 00:00:00
0021,25.057985,121.548982,66,19,0.7121212121212122,2018:06:18 00:00:00
0015,25.049845,121.571885,60,36,0.4,2018:06:18 00:00:00
0050,25.062002,121.560186,52,36,0.3076923076923077,2018:06:18 00:00:00
0175,25.051618 ,121.544847 ,52,14,0.7307692307692307,2018:06:18 00:00:00
0170,25.059245,121.568883,50,29,0.42,2018:06:18 00:00:00
0046,25.05646,121.611027 ,44,21,0.5227272727272727,2018:06:18 00:00:00
0026,25.050142,121.592375,42,17,0.5952380952380952,2018:06:18 00:00:00
0115,25.048222,121.520526,68,19,0.7205882352941176,2018:06:18 00:00:00
0186,25.035414 ,121.514218 ,82,32,0.6097560975609756,2018:06:18 00:00:00
0082,25.041778,121.508693 ,60,35,0.4166666666666667,2018:06:18 00:00:00
0080,25.02751,121.495869,44,25,0.4318181818181818,2018:06:18 00:00:00
0120,25.035479,121.50026,46,4,0.9130434782608695,2018:06:18 00:00:00
0090,25.037783,121.501708,44,25,0.4318181818181818,2018:06:18 00:00:00
0143,24.997659,121.578752,72,24,0.6666666666666666,2018:06:18 00:00:00
0144,24.988363,121.576536,70,61,0.12857142857142856,2018:06:18 00:00:00
0142,24.997747,121.574214,52,17,0.6730769230769231,2018:06:18 00:00:00
0094,24.993254,121.541059,52,8,0.8461538461538461,2018:06:18 00:00:00
0098,24.999378,121.540197,42,14,0.6666666666666666,2018:06:18 00:00:00
0078,25.071824,121.519287,52,6,0.8846153846153846,2018:06:18 00:00:00
0079,25.061285,121.520205,50,5,0.9,2018:06:18 00:00:00
0140,25.063404,121.512909,46,23,0.5,2018:06:18 00:00:00
0099,25.057866,121.520711,42,19,0.5476190476190477,2018:06:18 00:00:00
0134,25.10336,121.522629,64,12,0.8125,2018:06:18 00:00:00
0188,25.090293 ,121.501890 ,56,40,0.2857142857142857,2018:06:18 00:00:00
0097,25.082825,121.524721,52,11,0.7884615384615384,2018:06:18 00:00:00
0167,25.095714,121.518046,50,24,0.52,2018:06:18 00:00:00
0122,25.079666,121.57584,50,4,0.92,2018:06:18 00:00:00
0129,25.078424,121.58456,50,21,0.58,2018:06:18 00:00:00
0191,25.083873,121.60206,58,43,0.25862068965517243,2018:06:18 00:00:00
0148,25.110331,121.518316,68,40,0.4117647058823529,2018:06:18 00:00:00
0164,25.126286,121.500801,56,12,0.7857142857142857,2018:06:18 00:00:00
0117,25.132581,121.498618,58,29,0.5,2018:06:18 00:00:00
