youbike_stop_num,lat,lng,max_rental_num,can_be_rented_num,rental_per,time
0001,25.0408578889,121.567904444,180,98,0.45555555555555555,2018:06:13 15:00:00
0006,25.0347361111,121.565658333,80,0,1.0,2018:06:13 15:00:00
0007,25.0330388889,121.565619444,80,40,0.5,2018:06:13 15:00:00
0011,25.034937,121.55762,66,0,1.0,2018:06:13 15:00:00
0088,25.032922, 121.57087,62,13,0.7903225806451613,2018:06:13 15:00:00
0132,25.01603085,121.5331757,88,21,0.7613636363636364,2018:06:13 15:00:00
0163,25.018097,121.559279,72,12,0.8333333333333334,2018:06:13 15:00:00
0030,25.017054,121.544352,74,31,0.581081081081081,2018:06:13 15:00:00
0036,25.02101,121.54153,72,47,0.3472222222222222,2018:06:13 15:00:00
0083,25.033156,121.535161,74,3,0.9594594594594594,2018:06:13 15:00:00
0176,25.055997 ,121.542318 ,98,9,0.9081632653061225,2018:06:13 15:00:00
0162,25.062924,121.52772,70,1,0.9857142857142858,2018:06:13 15:00:00
0121,25.05298,121.540568,66,36,0.45454545454545453,2018:06:13 15:00:00
0021,25.057985,121.548982,66,52,0.21212121212121213,2018:06:13 15:00:00
0015,25.049845,121.571885,60,17,0.7166666666666667,2018:06:13 15:00:00
0050,25.062002,121.560186,52,17,0.6730769230769231,2018:06:13 15:00:00
0175,25.051618 ,121.544847 ,52,24,0.5384615384615384,2018:06:13 15:00:00
0170,25.059245,121.568883,50,17,0.66,2018:06:13 15:00:00
0046,25.05646,121.611027 ,44,14,0.6818181818181818,2018:06:13 15:00:00
0026,25.050142,121.592375,42,19,0.5476190476190477,2018:06:13 15:00:00
0115,25.048222,121.520526,68,22,0.6764705882352942,2018:06:13 15:00:00
0186,25.035414 ,121.514218 ,82,53,0.35365853658536583,2018:06:13 15:00:00
0082,25.041778,121.508693 ,60,35,0.4166666666666667,2018:06:13 15:00:00
0080,25.02751,121.495869,44,7,0.8409090909090909,2018:06:13 15:00:00
0120,25.035479,121.50026,46,19,0.5869565217391305,2018:06:13 15:00:00
0090,25.037783,121.501708,44,20,0.5454545454545454,2018:06:13 15:00:00
0143,24.997659,121.578752,72,12,0.8333333333333334,2018:06:13 15:00:00
0144,24.988363,121.576536,70,44,0.37142857142857144,2018:06:13 15:00:00
0142,24.997747,121.574214,52,36,0.3076923076923077,2018:06:13 15:00:00
0094,24.993254,121.541059,52,18,0.6538461538461539,2018:06:13 15:00:00
0098,24.999378,121.540197,42,15,0.6428571428571429,2018:06:13 15:00:00
0078,25.071824,121.519287,52,26,0.5,2018:06:13 15:00:00
0079,25.061285,121.520205,50,28,0.44,2018:06:13 15:00:00
0140,25.063404,121.512909,46,19,0.5869565217391305,2018:06:13 15:00:00
0099,25.057866,121.520711,42,2,0.9523809523809523,2018:06:13 15:00:00
0134,25.10336,121.522629,64,37,0.421875,2018:06:13 15:00:00
0188,25.090293 ,121.501890 ,56,23,0.5892857142857143,2018:06:13 15:00:00
0097,25.082825,121.524721,52,16,0.6923076923076923,2018:06:13 15:00:00
0167,25.095714,121.518046,50,33,0.34,2018:06:13 15:00:00
0122,25.079666,121.57584,50,5,0.9,2018:06:13 15:00:00
0129,25.078424,121.58456,50,10,0.8,2018:06:13 15:00:00
0191,25.083873,121.60206,58,10,0.8275862068965517,2018:06:13 15:00:00
0148,25.110331,121.518316,68,20,0.7058823529411765,2018:06:13 15:00:00
0164,25.126286,121.500801,56,33,0.4107142857142857,2018:06:13 15:00:00
0117,25.132581,121.498618,58,32,0.4482758620689655,2018:06:13 15:00:00
