youbike_stop_num,lat,lng,max_rental_num,can_be_rented_num,rental_per,time
0001,25.0408578889,121.567904444,180,123,0.31666666666666665,2018:06:15 18:00:00
0006,25.0347361111,121.565658333,80,0,1.0,2018:06:15 18:00:00
0007,25.0330388889,121.565619444,80,32,0.6,2018:06:15 18:00:00
0011,25.034937,121.55762,66,33,0.5,2018:06:15 18:00:00
0088,25.032922, 121.57087,62,44,0.2903225806451613,2018:06:15 18:00:00
0132,25.01603085,121.5331757,88,76,0.13636363636363635,2018:06:15 18:00:00
0163,25.018097,121.559279,72,22,0.6944444444444444,2018:06:15 18:00:00
0030,25.017054,121.544352,74,2,0.972972972972973,2018:06:15 18:00:00
0036,25.02101,121.54153,72,29,0.5972222222222222,2018:06:15 18:00:00
0083,25.033156,121.535161,74,52,0.2972972972972973,2018:06:15 18:00:00
0176,25.055997 ,121.542318 ,98,75,0.23469387755102042,2018:06:15 18:00:00
0162,25.062924,121.52772,70,33,0.5285714285714286,2018:06:15 18:00:00
0121,25.05298,121.540568,66,41,0.3787878787878788,2018:06:15 18:00:00
0021,25.057985,121.548982,66,31,0.5303030303030303,2018:06:15 18:00:00
0015,25.049845,121.571885,60,19,0.6833333333333333,2018:06:15 18:00:00
0050,25.062002,121.560186,52,26,0.5,2018:06:15 18:00:00
0175,25.051618 ,121.544847 ,52,6,0.8846153846153846,2018:06:15 18:00:00
0170,25.059245,121.568883,50,33,0.34,2018:06:15 18:00:00
0046,25.05646,121.611027 ,44,2,0.9545454545454546,2018:06:15 18:00:00
0026,25.050142,121.592375,42,13,0.6904761904761905,2018:06:15 18:00:00
0115,25.048222,121.520526,68,58,0.14705882352941177,2018:06:15 18:00:00
0186,25.035414 ,121.514218 ,82,39,0.524390243902439,2018:06:15 18:00:00
0082,25.041778,121.508693 ,60,39,0.35,2018:06:15 18:00:00
0080,25.02751,121.495869,44,8,0.8181818181818182,2018:06:15 18:00:00
0120,25.035479,121.50026,46,24,0.4782608695652174,2018:06:15 18:00:00
0090,25.037783,121.501708,44,32,0.2727272727272727,2018:06:15 18:00:00
0143,24.997659,121.578752,72,29,0.5972222222222222,2018:06:15 18:00:00
0144,24.988363,121.576536,70,24,0.6571428571428571,2018:06:15 18:00:00
0142,24.997747,121.574214,52,19,0.6346153846153846,2018:06:15 18:00:00
0094,24.993254,121.541059,52,26,0.5,2018:06:15 18:00:00
0098,24.999378,121.540197,42,17,0.5952380952380952,2018:06:15 18:00:00
0078,25.071824,121.519287,52,37,0.28846153846153844,2018:06:15 18:00:00
0079,25.061285,121.520205,50,21,0.58,2018:06:15 18:00:00
0140,25.063404,121.512909,46,25,0.45652173913043476,2018:06:15 18:00:00
0099,25.057866,121.520711,42,25,0.40476190476190477,2018:06:15 18:00:00
0134,25.10336,121.522629,64,6,0.90625,2018:06:15 18:00:00
0188,25.090293 ,121.501890 ,56,26,0.5357142857142857,2018:06:15 18:00:00
0097,25.082825,121.524721,52,28,0.46153846153846156,2018:06:15 18:00:00
0167,25.095714,121.518046,50,27,0.46,2018:06:15 18:00:00
0122,25.079666,121.57584,50,41,0.18,2018:06:15 18:00:00
0129,25.078424,121.58456,50,22,0.56,2018:06:15 18:00:00
0191,25.083873,121.60206,58,15,0.7413793103448276,2018:06:15 18:00:00
0148,25.110331,121.518316,68,21,0.6911764705882353,2018:06:15 18:00:00
0164,25.126286,121.500801,56,23,0.5892857142857143,2018:06:15 18:00:00
0117,25.132581,121.498618,58,41,0.29310344827586204,2018:06:15 18:00:00
