youbike_stop_num,lat,lng,max_rental_num,can_be_rented_num,rental_per,time
0001,25.0408578889,121.567904444,180,100,0.4444444444444444,2018:06:11 14:00:00
0006,25.0347361111,121.565658333,80,0,1.0,2018:06:11 14:00:00
0007,25.0330388889,121.565619444,80,45,0.4375,2018:06:11 14:00:00
0011,25.034937,121.55762,66,23,0.6515151515151515,2018:06:11 14:00:00
0088,25.032922, 121.57087,62,29,0.532258064516129,2018:06:11 14:00:00
0132,25.01603085,121.5331757,88,3,0.9659090909090909,2018:06:11 14:00:00
0163,25.018097,121.559279,72,13,0.8194444444444444,2018:06:11 14:00:00
0030,25.017054,121.544352,74,43,0.4189189189189189,2018:06:11 14:00:00
0036,25.02101,121.54153,72,41,0.4305555555555556,2018:06:11 14:00:00
0083,25.033156,121.535161,74,50,0.32432432432432434,2018:06:11 14:00:00
0176,25.055997 ,121.542318 ,98,16,0.8367346938775511,2018:06:11 14:00:00
0162,25.062924,121.52772,70,40,0.42857142857142855,2018:06:11 14:00:00
0121,25.05298,121.540568,66,40,0.3939393939393939,2018:06:11 14:00:00
0021,25.057985,121.548982,66,40,0.3939393939393939,2018:06:11 14:00:00
0015,25.049845,121.571885,60,3,0.95,2018:06:11 14:00:00
0050,25.062002,121.560186,52,25,0.5192307692307693,2018:06:11 14:00:00
0175,25.051618 ,121.544847 ,52,35,0.3269230769230769,2018:06:11 14:00:00
0170,25.059245,121.568883,50,21,0.58,2018:06:11 14:00:00
0046,25.05646,121.611027 ,44,22,0.5,2018:06:11 14:00:00
0026,25.050142,121.592375,42,22,0.47619047619047616,2018:06:11 14:00:00
0115,25.048222,121.520526,68,33,0.5147058823529411,2018:06:11 14:00:00
0186,25.035414 ,121.514218 ,82,55,0.32926829268292684,2018:06:11 14:00:00
0082,25.041778,121.508693 ,60,45,0.25,2018:06:11 14:00:00
0080,25.02751,121.495869,44,33,0.25,2018:06:11 14:00:00
0120,25.035479,121.50026,46,13,0.717391304347826,2018:06:11 14:00:00
0090,25.037783,121.501708,44,21,0.5227272727272727,2018:06:11 14:00:00
0143,24.997659,121.578752,72,13,0.8194444444444444,2018:06:11 14:00:00
0144,24.988363,121.576536,70,33,0.5285714285714286,2018:06:11 14:00:00
0142,24.997747,121.574214,52,19,0.6346153846153846,2018:06:11 14:00:00
0094,24.993254,121.541059,52,32,0.38461538461538464,2018:06:11 14:00:00
0098,24.999378,121.540197,42,20,0.5238095238095238,2018:06:11 14:00:00
0078,25.071824,121.519287,52,22,0.5769230769230769,2018:06:11 14:00:00
0079,25.061285,121.520205,50,43,0.14,2018:06:11 14:00:00
0140,25.063404,121.512909,46,19,0.5869565217391305,2018:06:11 14:00:00
0099,25.057866,121.520711,42,25,0.40476190476190477,2018:06:11 14:00:00
0134,25.10336,121.522629,64,33,0.484375,2018:06:11 14:00:00
0188,25.090293 ,121.501890 ,56,7,0.875,2018:06:11 14:00:00
0097,25.082825,121.524721,52,24,0.5384615384615384,2018:06:11 14:00:00
0167,25.095714,121.518046,50,29,0.42,2018:06:11 14:00:00
0122,25.079666,121.57584,50,11,0.78,2018:06:11 14:00:00
0129,25.078424,121.58456,50,3,0.94,2018:06:11 14:00:00
0191,25.083873,121.60206,58,12,0.7931034482758621,2018:06:11 14:00:00
0148,25.110331,121.518316,68,23,0.6617647058823529,2018:06:11 14:00:00
0164,25.126286,121.500801,56,39,0.30357142857142855,2018:06:11 14:00:00
0117,25.132581,121.498618,58,30,0.4827586206896552,2018:06:11 14:00:00
